Step,Final_CE,Align_Loss,Halt_Loss,LR,Diffs,Halts
15530,2.9341,0.0606,0.1375,0.000064,"[0.18,0.38,1.49]","[0.46,0.40,0.25]"
15540,3.0575,0.0610,0.1343,0.000063,"[0.18,0.38,1.52]","[0.45,0.41,0.25]"
15550,2.9415,0.0609,0.1295,0.000063,"[0.17,0.39,1.53]","[0.47,0.41,0.25]"
15560,2.8393,0.0597,0.1377,0.000063,"[0.17,0.38,1.51]","[0.47,0.41,0.25]"
15570,2.8651,0.0583,0.1406,0.000063,"[0.17,0.38,1.50]","[0.45,0.40,0.25]"
15580,2.7715,0.0607,0.1253,0.000063,"[0.17,0.38,1.50]","[0.47,0.40,0.25]"
15590,2.8436,0.0573,0.1415,0.000063,"[0.17,0.38,1.50]","[0.46,0.40,0.25]"
15600,2.8541,0.0585,0.1338,0.000063,"[0.18,0.38,1.50]","[0.48,0.41,0.25]"
15610,2.9604,0.0565,0.1549,0.000062,"[0.17,0.38,1.50]","[0.47,0.41,0.26]"
15620,3.0189,0.0614,0.1300,0.000062,"[0.17,0.38,1.50]","[0.47,0.39,0.25]"
15630,3.0890,0.0630,0.1207,0.000062,"[0.17,0.38,1.49]","[0.47,0.41,0.25]"
15640,2.9532,0.0590,0.1395,0.000062,"[0.17,0.38,1.48]","[0.47,0.41,0.25]"
15650,3.0246,0.0596,0.1297,0.000062,"[0.17,0.38,1.49]","[0.48,0.41,0.25]"
15660,3.0973,0.0594,0.1283,0.000062,"[0.17,0.39,1.50]","[0.46,0.40,0.25]"
15670,2.7605,0.0574,0.1368,0.000062,"[0.17,0.38,1.49]","[0.48,0.40,0.25]"
15680,3.0331,0.0576,0.1366,0.000061,"[0.17,0.38,1.49]","[0.46,0.41,0.25]"
15690,2.9077,0.0600,0.1267,0.000061,"[0.17,0.38,1.51]","[0.46,0.40,0.25]"
15700,2.6446,0.0582,0.1367,0.000061,"[0.18,0.38,1.50]","[0.48,0.41,0.25]"
15710,2.8323,0.0579,0.1314,0.000061,"[0.18,0.38,1.52]","[0.46,0.40,0.25]"
15720,2.7781,0.0566,0.1371,0.000061,"[0.18,0.38,1.49]","[0.47,0.40,0.25]"
15730,2.8457,0.0571,0.1337,0.000061,"[0.18,0.38,1.49]","[0.47,0.40,0.25]"
15740,2.7145,0.0556,0.1392,0.000061,"[0.17,0.38,1.48]","[0.47,0.40,0.25]"
15750,3.0375,0.0556,0.1392,0.000060,"[0.17,0.38,1.48]","[0.48,0.40,0.25]"
15760,3.0357,0.0558,0.1378,0.000060,"[0.17,0.38,1.49]","[0.46,0.40,0.25]"
15770,2.9040,0.0559,0.1355,0.000060,"[0.17,0.38,1.50]","[0.47,0.39,0.25]"
15780,2.9279,0.0530,0.1560,0.000060,"[0.17,0.38,1.51]","[0.47,0.41,0.25]"
15790,2.8748,0.0558,0.1363,0.000060,"[0.18,0.38,1.51]","[0.46,0.42,0.25]"
15800,2.7431,0.0547,0.1397,0.000060,"[0.18,0.38,1.50]","[0.47,0.43,0.25]"
15810,2.8286,0.0556,0.1358,0.000060,"[0.17,0.39,1.51]","[0.47,0.41,0.24]"
15820,3.0880,0.0538,0.1416,0.000059,"[0.17,0.38,1.51]","[0.45,0.41,0.25]"
15830,2.9710,0.0547,0.1384,0.000059,"[0.17,0.38,1.51]","[0.45,0.41,0.24]"
15840,2.8332,0.0515,0.1554,0.000059,"[0.19,0.37,1.49]","[0.49,0.41,0.25]"
15850,2.7936,0.0544,0.1385,0.000059,"[0.18,0.38,1.51]","[0.47,0.40,0.24]"
15860,3.0519,0.0542,0.1387,0.000059,"[0.18,0.38,1.50]","[0.46,0.40,0.24]"
15870,2.9205,0.0541,0.1519,0.000059,"[0.17,0.38,1.49]","[0.47,0.41,0.25]"
15880,3.0084,0.0578,0.1283,0.000059,"[0.18,0.38,1.50]","[0.47,0.41,0.24]"
15890,2.8710,0.0530,0.1628,0.000059,"[0.18,0.38,1.48]","[0.48,0.41,0.25]"
15900,2.8010,0.0519,0.1662,0.000058,"[0.18,0.38,1.48]","[0.47,0.40,0.26]"
15910,2.9827,0.0601,0.1172,0.000058,"[0.18,0.38,1.51]","[0.47,0.41,0.24]"
15920,3.2169,0.0637,0.1069,0.000058,"[0.17,0.38,1.53]","[0.46,0.40,0.25]"
15930,2.9454,0.0586,0.1349,0.000058,"[0.17,0.38,1.53]","[0.46,0.40,0.25]"
15940,2.9469,0.0562,0.1418,0.000058,"[0.17,0.37,1.50]","[0.46,0.41,0.25]"
15950,2.7986,0.0583,0.1245,0.000058,"[0.17,0.38,1.51]","[0.47,0.40,0.25]"
15960,3.0682,0.0587,0.1198,0.000058,"[0.18,0.38,1.49]","[0.47,0.41,0.25]"
15970,2.7923,0.0584,0.1191,0.000057,"[0.17,0.39,1.50]","[0.47,0.40,0.24]"
15980,2.8165,0.0594,0.1143,0.000057,"[0.17,0.38,1.49]","[0.47,0.39,0.24]"
15990,2.7904,0.0581,0.1196,0.000057,"[0.17,0.38,1.49]","[0.47,0.39,0.24]"
16000,2.8374,0.0570,0.1231,0.000057,"[0.18,0.38,1.49]","[0.46,0.40,0.24]"
16010,2.8801,0.0573,0.1216,0.000057,"[0.18,0.38,1.49]","[0.47,0.42,0.24]"
16020,2.8543,0.0528,0.1481,0.000057,"[0.17,0.38,1.49]","[0.47,0.39,0.25]"
16030,2.8445,0.0514,0.1561,0.000057,"[0.17,0.39,1.49]","[0.46,0.41,0.25]"
16040,2.9919,0.0536,0.1411,0.000057,"[0.17,0.38,1.48]","[0.46,0.40,0.25]"
16050,2.8535,0.0542,0.1371,0.000056,"[0.18,0.38,1.48]","[0.46,0.41,0.25]"
16060,2.8542,0.0550,0.1316,0.000056,"[0.18,0.38,1.48]","[0.46,0.41,0.25]"
16070,3.0188,0.0530,0.1407,0.000056,"[0.18,0.39,1.47]","[0.47,0.41,0.25]"
16080,2.8750,0.0523,0.1466,0.000056,"[0.18,0.38,1.47]","[0.46,0.41,0.25]"
16090,3.0048,0.0547,0.1300,0.000056,"[0.18,0.38,1.48]","[0.46,0.41,0.25]"
16100,2.7905,0.0530,0.1401,0.000056,"[0.18,0.38,1.47]","[0.48,0.41,0.25]"
16110,3.0133,0.0530,0.1394,0.000056,"[0.18,0.38,1.48]","[0.46,0.42,0.25]"
16120,2.8463,0.0541,0.1321,0.000056,"[0.17,0.38,1.47]","[0.47,0.40,0.24]"
16130,2.8167,0.0535,0.1369,0.000055,"[0.18,0.38,1.47]","[0.47,0.41,0.25]"
16140,2.8786,0.0519,0.1486,0.000055,"[0.18,0.38,1.46]","[0.47,0.42,0.25]"
16150,2.8946,0.0537,0.1405,0.000055,"[0.18,0.38,1.46]","[0.47,0.42,0.25]"
16160,2.8779,0.0534,0.1371,0.000055,"[0.17,0.38,1.46]","[0.46,0.40,0.25]"
16170,3.0139,0.0526,0.1392,0.000055,"[0.18,0.38,1.45]","[0.46,0.41,0.25]"
16180,3.0352,0.0528,0.1378,0.000055,"[0.17,0.38,1.45]","[0.46,0.40,0.25]"
16190,3.0355,0.0541,0.1315,0.000055,"[0.18,0.38,1.46]","[0.46,0.40,0.24]"
16200,2.8818,0.0518,0.1436,0.000055,"[0.18,0.38,1.45]","[0.48,0.40,0.25]"
16210,3.0646,0.0522,0.1408,0.000054,"[0.18,0.38,1.47]","[0.47,0.40,0.25]"
16220,2.9056,0.0512,0.1456,0.000054,"[0.18,0.38,1.46]","[0.47,0.41,0.25]"
16230,2.8030,0.0516,0.1444,0.000054,"[0.18,0.37,1.46]","[0.47,0.41,0.25]"
16240,3.0011,0.0518,0.1415,0.000054,"[0.17,0.39,1.45]","[0.46,0.39,0.25]"
16250,2.9034,0.0527,0.1390,0.000054,"[0.18,0.38,1.43]","[0.47,0.41,0.24]"
16260,2.9406,0.0524,0.1398,0.000054,"[0.19,0.37,1.42]","[0.48,0.41,0.24]"
16270,2.9074,0.0519,0.1438,0.000054,"[0.18,0.38,1.43]","[0.46,0.39,0.25]"
16280,2.8149,0.0526,0.1407,0.000054,"[0.17,0.38,1.43]","[0.47,0.40,0.25]"
16290,3.0427,0.0525,0.1384,0.000053,"[0.19,0.38,1.42]","[0.48,0.41,0.24]"
16300,2.9890,0.0528,0.1372,0.000053,"[0.18,0.38,1.42]","[0.48,0.42,0.24]"
16310,3.0203,0.0523,0.1390,0.000053,"[0.17,0.38,1.44]","[0.47,0.40,0.24]"
16320,2.7751,0.0509,0.1466,0.000053,"[0.19,0.38,1.44]","[0.48,0.40,0.25]"
16330,2.7901,0.0518,0.1476,0.000053,"[0.18,0.38,1.43]","[0.48,0.41,0.25]"
16340,2.7183,0.0552,0.1375,0.000053,"[0.17,0.38,1.41]","[0.47,0.40,0.25]"
16350,2.9391,0.0565,0.1260,0.000053,"[0.17,0.38,1.39]","[0.47,0.40,0.24]"
16360,2.7870,0.0607,0.1325,0.000053,"[0.17,0.38,1.36]","[0.47,0.39,0.25]"
16370,2.6974,0.0631,0.1274,0.000052,"[0.18,0.37,1.35]","[0.47,0.40,0.25]"
16380,2.8757,0.0648,0.1130,0.000052,"[0.18,0.38,1.38]","[0.47,0.40,0.25]"
16390,2.8149,0.0670,0.1056,0.000052,"[0.18,0.38,1.40]","[0.47,0.40,0.25]"
16400,3.0179,0.0671,0.1161,0.000052,"[0.17,0.38,1.40]","[0.46,0.40,0.25]"
16410,3.0490,0.0696,0.1046,0.000052,"[0.17,0.38,1.39]","[0.46,0.40,0.25]"
16420,2.9838,0.0683,0.1063,0.000052,"[0.17,0.39,1.39]","[0.47,0.39,0.25]"
16430,2.9178,0.0643,0.1096,0.000052,"[0.18,0.38,1.36]","[0.47,0.40,0.25]"
16440,2.9602,0.0647,0.1054,0.000052,"[0.17,0.39,1.37]","[0.47,0.39,0.25]"
16450,2.9238,0.0604,0.1222,0.000051,"[0.18,0.38,1.35]","[0.47,0.40,0.25]"
16460,3.1739,0.0602,0.1164,0.000051,"[0.18,0.38,1.36]","[0.48,0.40,0.25]"
16470,2.5397,0.0607,0.1078,0.000051,"[0.18,0.38,1.36]","[0.47,0.39,0.25]"
16480,2.7189,0.0595,0.1108,0.000051,"[0.18,0.38,1.34]","[0.48,0.41,0.25]"
16490,2.5735,0.0582,0.1168,0.000051,"[0.19,0.37,1.33]","[0.46,0.41,0.25]"
16500,2.8644,0.0576,0.1199,0.000051,"[0.17,0.38,1.34]","[0.48,0.39,0.25]"
16510,2.7526,0.0577,0.1157,0.000051,"[0.18,0.38,1.34]","[0.47,0.40,0.25]"
16520,2.6948,0.0549,0.1304,0.000051,"[0.18,0.38,1.33]","[0.47,0.40,0.25]"
16530,3.0583,0.0568,0.1185,0.000051,"[0.17,0.38,1.34]","[0.46,0.40,0.25]"
16540,2.9064,0.0578,0.1131,0.000050,"[0.17,0.39,1.34]","[0.46,0.41,0.25]"
16550,2.9254,0.0561,0.1195,0.000050,"[0.17,0.39,1.33]","[0.47,0.40,0.25]"
16560,2.5867,0.0546,0.1294,0.000050,"[0.19,0.38,1.32]","[0.47,0.41,0.25]"
16570,2.9876,0.0566,0.1145,0.000050,"[0.17,0.39,1.33]","[0.47,0.40,0.24]"
16580,2.9012,0.0563,0.1148,0.000050,"[0.17,0.39,1.32]","[0.46,0.40,0.24]"
16590,2.6725,0.0573,0.1152,0.000050,"[0.19,0.37,1.31]","[0.48,0.41,0.24]"
16600,3.0811,0.0547,0.1257,0.000050,"[0.17,0.39,1.31]","[0.47,0.40,0.25]"
16610,3.1053,0.0535,0.1309,0.000050,"[0.17,0.38,1.33]","[0.46,0.40,0.25]"
16620,3.0948,0.0521,0.1376,0.000050,"[0.18,0.38,1.31]","[0.46,0.42,0.25]"
16630,2.8149,0.0549,0.1258,0.000049,"[0.18,0.38,1.33]","[0.47,0.41,0.25]"
16640,2.9106,0.0548,0.1247,0.000049,"[0.17,0.39,1.32]","[0.47,0.40,0.25]"
16650,2.9429,0.0543,0.1247,0.000049,"[0.18,0.38,1.31]","[0.46,0.41,0.25]"
16660,2.8805,0.0541,0.1282,0.000049,"[0.18,0.38,1.33]","[0.46,0.41,0.25]"
16670,2.9961,0.0536,0.1247,0.000049,"[0.17,0.39,1.31]","[0.45,0.40,0.24]"
16680,2.8714,0.0530,0.1316,0.000049,"[0.17,0.39,1.31]","[0.45,0.40,0.25]"
16690,2.7719,0.0531,0.1306,0.000049,"[0.18,0.38,1.31]","[0.47,0.41,0.25]"
16700,2.6097,0.0541,0.1247,0.000049,"[0.18,0.38,1.32]","[0.46,0.40,0.24]"
16710,2.8742,0.0548,0.1255,0.000049,"[0.17,0.39,1.33]","[0.47,0.39,0.24]"
16720,2.8564,0.0522,0.1321,0.000048,"[0.18,0.38,1.32]","[0.46,0.38,0.25]"
16730,2.8642,0.0532,0.1267,0.000048,"[0.18,0.38,1.32]","[0.46,0.40,0.24]"
16740,2.8599,0.0527,0.1343,0.000048,"[0.18,0.38,1.31]","[0.46,0.39,0.25]"
16750,2.8973,0.0524,0.1365,0.000048,"[0.18,0.38,1.30]","[0.47,0.40,0.25]"
16760,3.1187,0.0538,0.1299,0.000048,"[0.17,0.39,1.32]","[0.45,0.39,0.25]"
16770,2.8134,0.0537,0.1305,0.000048,"[0.18,0.38,1.33]","[0.47,0.40,0.24]"
16780,2.7478,0.0529,0.1272,0.000048,"[0.18,0.38,1.32]","[0.47,0.40,0.24]"
16790,2.9888,0.0520,0.1315,0.000048,"[0.19,0.38,1.31]","[0.47,0.41,0.24]"
16800,2.6666,0.0505,0.1498,0.000048,"[0.18,0.38,1.31]","[0.47,0.42,0.25]"
16810,2.8245,0.0512,0.1423,0.000047,"[0.18,0.39,1.32]","[0.46,0.40,0.25]"
16820,2.9577,0.0517,0.1353,0.000047,"[0.18,0.38,1.31]","[0.47,0.40,0.24]"
16830,3.0239,0.0525,0.1315,0.000047,"[0.18,0.38,1.32]","[0.47,0.38,0.24]"
16840,2.8521,0.0516,0.1332,0.000047,"[0.18,0.38,1.30]","[0.46,0.40,0.24]"
16850,3.0164,0.0518,0.1328,0.000047,"[0.17,0.39,1.30]","[0.47,0.40,0.24]"
16860,2.7734,0.0503,0.1419,0.000047,"[0.17,0.38,1.29]","[0.47,0.40,0.25]"
16870,2.9303,0.0514,0.1369,0.000047,"[0.17,0.39,1.31]","[0.47,0.39,0.25]"
16880,2.7977,0.0523,0.1347,0.000047,"[0.18,0.38,1.31]","[0.48,0.40,0.25]"
16890,2.6916,0.0510,0.1383,0.000047,"[0.18,0.38,1.30]","[0.46,0.39,0.25]"
16900,3.0940,0.0522,0.1311,0.000047,"[0.17,0.39,1.30]","[0.46,0.40,0.24]"
16910,2.8346,0.0517,0.1328,0.000046,"[0.18,0.38,1.29]","[0.46,0.39,0.24]"
16920,2.9364,0.0529,0.1298,0.000046,"[0.17,0.39,1.30]","[0.48,0.39,0.24]"
16930,2.7997,0.0511,0.1360,0.000046,"[0.18,0.38,1.29]","[0.48,0.39,0.25]"
16940,2.8550,0.0491,0.1453,0.000046,"[0.18,0.39,1.29]","[0.47,0.39,0.25]"
16950,2.7191,0.0503,0.1371,0.000046,"[0.18,0.38,1.29]","[0.47,0.39,0.24]"
16960,3.1944,0.0509,0.1334,0.000046,"[0.17,0.39,1.29]","[0.47,0.39,0.24]"
16970,2.7833,0.0506,0.1364,0.000046,"[0.18,0.37,1.30]","[0.47,0.39,0.24]"
16980,2.8578,0.0509,0.1339,0.000046,"[0.18,0.38,1.29]","[0.46,0.40,0.24]"
16990,2.8954,0.0508,0.1361,0.000046,"[0.18,0.38,1.30]","[0.47,0.39,0.24]"
17000,2.7963,0.0498,0.1387,0.000045,"[0.18,0.39,1.29]","[0.47,0.39,0.25]"
17010,2.7511,0.0497,0.1421,0.000045,"[0.18,0.38,1.28]","[0.47,0.41,0.24]"
17020,2.9157,0.0500,0.1382,0.000045,"[0.18,0.38,1.29]","[0.47,0.40,0.24]"
17030,3.0042,0.0489,0.1457,0.000045,"[0.18,0.39,1.29]","[0.47,0.42,0.25]"
17040,3.0470,0.0506,0.1330,0.000045,"[0.18,0.38,1.28]","[0.48,0.40,0.24]"
17050,3.0050,0.0509,0.1333,0.000045,"[0.18,0.38,1.28]","[0.47,0.42,0.24]"
17060,3.0644,0.0491,0.1427,0.000045,"[0.18,0.39,1.28]","[0.47,0.40,0.25]"
17070,2.7999,0.0487,0.1426,0.000045,"[0.18,0.38,1.29]","[0.48,0.39,0.25]"
17080,3.0106,0.0495,0.1387,0.000045,"[0.17,0.39,1.29]","[0.47,0.40,0.24]"
17090,3.0280,0.0497,0.1368,0.000045,"[0.19,0.38,1.28]","[0.47,0.40,0.24]"
17100,3.1364,0.0502,0.1371,0.000044,"[0.18,0.39,1.28]","[0.47,0.40,0.24]"
17110,2.7188,0.0501,0.1380,0.000044,"[0.18,0.38,1.28]","[0.47,0.41,0.24]"
17120,2.8429,0.0501,0.1352,0.000044,"[0.18,0.38,1.30]","[0.47,0.40,0.24]"
17130,2.8879,0.0504,0.1331,0.000044,"[0.18,0.38,1.29]","[0.46,0.39,0.24]"
17140,2.7635,0.0497,0.1390,0.000044,"[0.17,0.39,1.29]","[0.47,0.38,0.24]"
17150,2.9317,0.0488,0.1398,0.000044,"[0.17,0.39,1.28]","[0.46,0.40,0.24]"
17160,2.9517,0.0491,0.1387,0.000044,"[0.18,0.38,1.28]","[0.45,0.39,0.24]"
17170,2.6901,0.0477,0.1472,0.000044,"[0.18,0.38,1.29]","[0.46,0.39,0.24]"
17180,2.7810,0.0467,0.1519,0.000044,"[0.18,0.38,1.27]","[0.47,0.40,0.25]"
17190,2.9415,0.0488,0.1395,0.000044,"[0.17,0.39,1.28]","[0.45,0.39,0.24]"
17200,2.9982,0.0485,0.1427,0.000044,"[0.18,0.38,1.28]","[0.47,0.40,0.24]"
17210,2.7737,0.0495,0.1358,0.000043,"[0.18,0.38,1.29]","[0.47,0.40,0.24]"
17220,3.1111,0.0482,0.1419,0.000043,"[0.17,0.38,1.29]","[0.46,0.41,0.24]"
17230,2.9431,0.0481,0.1418,0.000043,"[0.18,0.39,1.28]","[0.47,0.42,0.24]"
17240,2.7884,0.0490,0.1367,0.000043,"[0.19,0.38,1.27]","[0.47,0.41,0.24]"
17250,2.8694,0.0483,0.1397,0.000043,"[0.17,0.39,1.27]","[0.47,0.39,0.24]"
17260,2.8016,0.0476,0.1453,0.000043,"[0.19,0.38,1.27]","[0.47,0.41,0.24]"
17270,2.9954,0.0481,0.1388,0.000043,"[0.17,0.39,1.28]","[0.46,0.41,0.24]"
17280,2.4002,0.0475,0.1435,0.000043,"[0.19,0.38,1.28]","[0.46,0.40,0.24]"
17290,2.7854,0.0491,0.1347,0.000043,"[0.18,0.38,1.28]","[0.47,0.42,0.24]"
17300,2.8884,0.0477,0.1406,0.000043,"[0.17,0.39,1.29]","[0.47,0.40,0.24]"
17310,2.9750,0.0477,0.1432,0.000042,"[0.17,0.39,1.28]","[0.47,0.39,0.24]"
17320,2.8235,0.0477,0.1407,0.000042,"[0.18,0.39,1.27]","[0.47,0.39,0.24]"
17330,2.8035,0.0492,0.1353,0.000042,"[0.18,0.39,1.29]","[0.47,0.41,0.24]"
17340,2.9768,0.0475,0.1407,0.000042,"[0.18,0.39,1.28]","[0.47,0.39,0.24]"
17350,2.8964,0.0474,0.1411,0.000042,"[0.18,0.39,1.27]","[0.47,0.40,0.24]"
17360,2.8854,0.0479,0.1365,0.000042,"[0.18,0.39,1.28]","[0.47,0.40,0.24]"
17370,2.9771,0.0478,0.1372,0.000042,"[0.17,0.39,1.28]","[0.46,0.40,0.24]"
17380,2.9000,0.0466,0.1470,0.000042,"[0.18,0.38,1.27]","[0.46,0.41,0.24]"
17390,2.7029,0.0469,0.1436,0.000042,"[0.19,0.39,1.26]","[0.47,0.40,0.24]"
17400,2.7283,0.0474,0.1387,0.000042,"[0.19,0.38,1.27]","[0.48,0.40,0.24]"
17410,2.9697,0.0476,0.1394,0.000042,"[0.19,0.38,1.29]","[0.46,0.41,0.24]"
17420,2.8682,0.0472,0.1408,0.000042,"[0.19,0.38,1.29]","[0.48,0.40,0.24]"
17430,2.9131,0.0472,0.1391,0.000041,"[0.18,0.38,1.28]","[0.48,0.40,0.24]"
17440,2.9474,0.0476,0.1367,0.000041,"[0.18,0.38,1.27]","[0.46,0.40,0.24]"
17450,2.7631,0.0480,0.1357,0.000041,"[0.18,0.39,1.27]","[0.47,0.40,0.24]"
17460,2.9619,0.0475,0.1383,0.000041,"[0.18,0.38,1.27]","[0.46,0.39,0.24]"
17470,2.9356,0.0459,0.1476,0.000041,"[0.18,0.39,1.28]","[0.47,0.40,0.24]"
17480,2.8870,0.0472,0.1382,0.000041,"[0.17,0.39,1.29]","[0.46,0.40,0.24]"
17490,2.8530,0.0466,0.1417,0.000041,"[0.18,0.39,1.28]","[0.48,0.39,0.24]"
17500,2.9073,0.0465,0.1417,0.000041,"[0.18,0.38,1.28]","[0.47,0.40,0.24]"
17510,2.7194,0.0470,0.1397,0.000041,"[0.18,0.39,1.29]","[0.47,0.39,0.24]"
17520,2.7527,0.0467,0.1398,0.000041,"[0.19,0.38,1.28]","[0.46,0.41,0.24]"
17530,2.7580,0.0466,0.1442,0.000041,"[0.19,0.39,1.27]","[0.48,0.39,0.24]"
17540,2.7532,0.0463,0.1415,0.000040,"[0.18,0.39,1.27]","[0.47,0.40,0.24]"
17550,2.8226,0.0466,0.1406,0.000040,"[0.18,0.39,1.28]","[0.45,0.39,0.24]"
17560,3.0517,0.0473,0.1368,0.000040,"[0.17,0.39,1.27]","[0.47,0.39,0.24]"
17570,2.9325,0.0462,0.1432,0.000040,"[0.18,0.39,1.28]","[0.46,0.40,0.24]"
17580,2.8315,0.0469,0.1379,0.000040,"[0.17,0.39,1.28]","[0.46,0.39,0.24]"
17590,3.0238,0.0461,0.1419,0.000040,"[0.17,0.40,1.28]","[0.46,0.40,0.24]"
17600,2.6997,0.0462,0.1419,0.000040,"[0.19,0.39,1.27]","[0.47,0.41,0.24]"
17610,2.9018,0.0456,0.1448,0.000040,"[0.18,0.39,1.28]","[0.47,0.40,0.24]"
17620,2.9014,0.0462,0.1405,0.000040,"[0.19,0.39,1.28]","[0.48,0.41,0.24]"
17630,2.7348,0.0459,0.1415,0.000040,"[0.18,0.39,1.28]","[0.46,0.41,0.24]"
17640,2.5512,0.0462,0.1395,0.000040,"[0.18,0.38,1.29]","[0.47,0.40,0.24]"
17650,2.9707,0.0463,0.1383,0.000040,"[0.18,0.39,1.28]","[0.46,0.42,0.24]"
17660,2.9646,0.0466,0.1372,0.000039,"[0.18,0.38,1.28]","[0.46,0.40,0.24]"
17670,2.8958,0.0477,0.1329,0.000039,"[0.18,0.38,1.29]","[0.47,0.41,0.24]"
17680,2.7189,0.0470,0.1351,0.000039,"[0.19,0.38,1.28]","[0.47,0.42,0.24]"
17690,2.7111,0.0470,0.1350,0.000039,"[0.19,0.38,1.28]","[0.48,0.40,0.24]"
17700,2.7721,0.0479,0.1329,0.000039,"[0.18,0.39,1.29]","[0.47,0.41,0.24]"
17710,2.9427,0.0465,0.1399,0.000039,"[0.18,0.38,1.29]","[0.46,0.40,0.24]"
17720,2.8707,0.0477,0.1347,0.000039,"[0.18,0.38,1.30]","[0.46,0.41,0.24]"
17730,2.8131,0.0488,0.1313,0.000039,"[0.18,0.38,1.30]","[0.47,0.40,0.24]"
17740,2.7744,0.0485,0.1323,0.000039,"[0.18,0.39,1.27]","[0.47,0.41,0.24]"
17750,2.5908,0.0479,0.1358,0.000039,"[0.18,0.39,1.25]","[0.47,0.41,0.25]"
17760,2.6672,0.0484,0.1336,0.000039,"[0.18,0.38,1.26]","[0.45,0.39,0.24]"
17770,2.8761,0.0480,0.1333,0.000039,"[0.18,0.38,1.27]","[0.46,0.40,0.24]"
17780,2.8802,0.0475,0.1379,0.000039,"[0.17,0.39,1.28]","[0.46,0.40,0.25]"
17790,2.9553,0.0483,0.1342,0.000038,"[0.17,0.39,1.27]","[0.46,0.40,0.24]"
17800,3.0605,0.0492,0.1298,0.000038,"[0.17,0.40,1.27]","[0.47,0.40,0.24]"
17810,2.9566,0.0471,0.1372,0.000038,"[0.17,0.39,1.28]","[0.46,0.40,0.25]"
17820,2.8387,0.0472,0.1353,0.000038,"[0.18,0.38,1.28]","[0.48,0.41,0.24]"
17830,2.8633,0.0473,0.1367,0.000038,"[0.18,0.39,1.28]","[0.47,0.40,0.24]"
17840,2.8589,0.0474,0.1364,0.000038,"[0.17,0.39,1.28]","[0.46,0.40,0.24]"
17850,3.0878,0.0469,0.1356,0.000038,"[0.17,0.39,1.27]","[0.46,0.41,0.24]"
17860,3.0320,0.0464,0.1406,0.000038,"[0.18,0.39,1.27]","[0.46,0.40,0.24]"
17870,2.7126,0.0468,0.1360,0.000038,"[0.18,0.39,1.25]","[0.46,0.40,0.24]"
17880,2.9079,0.0475,0.1322,0.000038,"[0.17,0.39,1.27]","[0.46,0.39,0.24]"
17890,2.7482,0.0467,0.1344,0.000038,"[0.19,0.39,1.25]","[0.46,0.41,0.24]"
17900,2.9284,0.0464,0.1371,0.000038,"[0.18,0.39,1.28]","[0.47,0.41,0.25]"
17910,2.9758,0.0463,0.1374,0.000038,"[0.18,0.39,1.26]","[0.45,0.40,0.25]"
17920,2.9900,0.0464,0.1345,0.000038,"[0.17,0.39,1.27]","[0.46,0.40,0.24]"
17930,2.7548,0.0471,0.1323,0.000037,"[0.19,0.38,1.27]","[0.47,0.41,0.24]"
17940,2.8031,0.0466,0.1349,0.000037,"[0.18,0.39,1.29]","[0.46,0.42,0.24]"
17950,2.7454,0.0476,0.1326,0.000037,"[0.18,0.38,1.29]","[0.47,0.41,0.24]"
17960,3.1405,0.0468,0.1332,0.000037,"[0.17,0.39,1.29]","[0.47,0.40,0.24]"
17970,2.8498,0.0456,0.1405,0.000037,"[0.18,0.38,1.27]","[0.47,0.40,0.25]"
17980,2.8084,0.0463,0.1358,0.000037,"[0.18,0.39,1.28]","[0.48,0.40,0.24]"
17990,2.7055,0.0469,0.1368,0.000037,"[0.18,0.39,1.28]","[0.47,0.39,0.25]"
18000,2.9302,0.0557,0.1109,0.000037,"[0.19,0.39,1.24]","[0.48,0.41,0.24]"
18010,2.9174,0.0510,0.1207,0.000037,"[0.18,0.39,1.25]","[0.46,0.39,0.24]"
18020,2.8748,0.0505,0.1271,0.000037,"[0.18,0.38,1.26]","[0.47,0.40,0.25]"
18030,2.8733,0.0498,0.1218,0.000037,"[0.18,0.38,1.26]","[0.47,0.40,0.24]"
18040,2.7787,0.0492,0.1268,0.000037,"[0.18,0.38,1.26]","[0.46,0.40,0.25]"
18050,2.8371,0.0494,0.1235,0.000037,"[0.18,0.39,1.27]","[0.46,0.41,0.24]"
18060,2.8746,0.0479,0.1308,0.000037,"[0.18,0.39,1.26]","[0.46,0.41,0.25]"
18070,2.9949,0.0482,0.1302,0.000036,"[0.18,0.39,1.26]","[0.47,0.41,0.25]"
18080,2.9293,0.0493,0.1230,0.000036,"[0.18,0.39,1.26]","[0.47,0.40,0.25]"
18090,2.7745,0.0487,0.1251,0.000036,"[0.18,0.39,1.26]","[0.46,0.39,0.25]"
18100,2.9616,0.0479,0.1276,0.000036,"[0.17,0.39,1.26]","[0.47,0.39,0.25]"
18110,2.8881,0.0482,0.1310,0.000036,"[0.18,0.38,1.26]","[0.47,0.40,0.25]"
18120,2.9516,0.0486,0.1323,0.000036,"[0.17,0.39,1.26]","[0.46,0.39,0.25]"
18130,2.5484,0.0476,0.1310,0.000036,"[0.18,0.39,1.25]","[0.47,0.40,0.25]"
18140,2.7532,0.0476,0.1278,0.000036,"[0.19,0.39,1.25]","[0.47,0.41,0.24]"
18150,2.9981,0.0478,0.1278,0.000036,"[0.18,0.39,1.24]","[0.46,0.41,0.24]"
